Medication,Month,Count
Aspirin,01,162
Aspirin,02,148
Aspirin,03,174
Aspirin,04,167
Aspirin,05,152
Aspirin,06,171
Aspirin,07,155
Aspirin,08,184
Aspirin,09,172
Aspirin,10,162
Aspirin,11,162
Aspirin,12,159
Ibuprofen,01,174
Ibuprofen,02,141
Ibuprofen,03,170
Ibuprofen,04,165
Ibuprofen,05,160
Ibuprofen,06,163
Ibuprofen,07,179
Ibuprofen,08,163
Ibuprofen,09,152
Ibuprofen,10,183
Ibuprofen,11,172
Ibuprofen,12,154
Lipitor,01,143
Lipitor,02,177
Lipitor,03,162
Lipitor,04,162
Lipitor,05,168
Lipitor,06,152
Lipitor,07,177
Lipitor,08,165
Lipitor,09,180
Lipitor,10,179
Lipitor,11,163
Lipitor,12,187
Paracetamol,01,165
Paracetamol,02,152
Paracetamol,03,171
Paracetamol,04,157
Paracetamol,05,172
Paracetamol,06,163
Paracetamol,07,156
Paracetamol,08,164
Paracetamol,09,157
Paracetamol,10,178
Paracetamol,11,155
Paracetamol,12,172
Penicillin,01,193
Penicillin,02,160
Penicillin,03,173
Penicillin,04,190
Penicillin,05,190
Penicillin,06,184
Penicillin,07,160
Penicillin,08,169
Penicillin,09,140
Penicillin,10,181
Penicillin,11,168
Penicillin,12,171
